건설환경캡스톤디자인2,1780,3534,-2000,NNG,과목명,T,건설환경캡스톤디자인2,Compound,*,*,건설/NNG/*+환경/NNG/*+캡스톤/NNP/*+디자인/NNG/*+2/SN/*
건축3D기하학,1780,3534,-2000,NNG,과목명,T,건축3D기하학,Compound,*,*,건축/NNG/*+3D/NNP/*+기하학/NNG/*
건축개론,1780,3534,-2000,NNG,과목명,T,건축개론,Compound,*,*,건축/NNG/*+개론/NNG/*
건축계획및이론,1780,3534,-2000,NNG,과목명,T,건축계획및이론,Compound,*,*,건축/NNG/*+계획/NNG/*+및/MAJ/*+이론/NNG/*
건축공학설계,1780,3533,-2000,NNG,과목명,F,건축공학설계,Compound,*,*,건축/NNG/*+공학/NNG/*+설계/NNG/*
건축공학전공연구실심화실습,1780,3534,-2000,NNG,과목명,T,건축공학전공연구실심화실습,Compound,*,*,건축/NNG/*공학/NNG/*+전공/NNG/*+연구실/NNG/*+심화/NNG/*+실습/NNG/*
건축공학전공연구실심화실습1,1780,3534,-2000,NNG,과목명,T,건축공학전공연구실심화실습1,Compound,*,*,건축/NNG/*공학/NNG/*+전공/NNG/*+연구실/NNG/*+심화/NNG/*+실습/NNG/*+1/SN/*
건축공학전공연구실심화실습3,1780,3534,-2000,NNG,과목명,T,건축공학전공연구실심화실습3,Compound,*,*,건축/NNG/*공학/NNG/*+전공/NNG/*+연구실/NNG/*+심화/NNG/*+실습/NNG/*+3/SN/*
건축과사회,1780,3533,-2000,NNG,과목명,F,건축과사회,Compound,*,*,건축/NNG/*+과/JC/*+사회/NNG/*
건축구조시스템설계,1780,3533,-2000,NNG,과목명,F,건축구조시스템설계,Compound,*,*,건축/NNG/*+구조/NNG/*+시스템/NNG/*+설계/NNG/*
건축구조의기본,1780,3534,-2000,NNG,과목명,T,건축구조의기본,Compound,*,*,건축/NNG/*+구조/NNG/*+의/JKG/*+기본/NNG/*
건축구조재료실험,1780,3534,-2000,NNG,과목명,T,건축구조재료실험,Compound,*,*,건축/NNG/*+구조/NNG/*+재료/NNG/*+실험/NNG/*
건축도면의이해,1780,3533,-2000,NNG,과목명,F,건축도면의이해,Compound,*,*,건축/NNG/*+도면/NNG/*+의/JKG/*+이해/NNG/*
건축법규와제도,1780,3533,-2000,NNG,과목명,F,건축법규와제도,Compound,*,*,건축/NNG/*+법규/NNG/*+와/JC/*+제도/NNG/*
건축설계,1780,3533,-2000,NNG,과목명,F,건축설계,Compound,*,*,건축/NNG/*+설계/NNG/*
건축설계1,1780,3534,-2000,NNG,과목명,T,건축설계1,Compound,*,*,건축/NNG/*+설계/NNG/*+1/SN/*
건축설계3,1780,3534,-2000,NNG,과목명,T,건축설계3,Compound,*,*,건축/NNG/*+설계/NNG/*+3/SN/*
건축설계5,1780,3534,-2000,NNG,과목명,T,건축설계5,Compound,*,*,건축/NNG/*+설계/NNG/*+5/SN/*
